Date, Real Date, Net Capture
2014-02-25T06:00:00Z, , -22000.0
2014-02-13T06:00:00Z, , -20600.0
2014-02-11T06:00:00Z, , -20000.0
2013-11-25T06:00:00Z, , -8500.0
2014-02-10T06:00:00Z, , -20000.0
2013-11-14T06:00:00Z, , -6400.0
2014-01-02T06:00:00Z, , -14000.0
2014-04-15T05:00:00Z, , -29400.0
2014-01-01T06:00:00Z, , -13800.0
2014-03-19T05:00:00Z, , -25600.0
2013-11-05T06:00:00Z, , -3100.0
2014-03-31T05:00:00Z, , -26300.0
2014-01-29T06:00:00Z, , -18800.0
2013-12-25T06:00:00Z, , -12800.0
2013-12-24T06:00:00Z, , -12000.0
2013-12-18T06:00:00Z, , -11200.0
2014-01-10T06:00:00Z, , -16000.0
2014-04-21T05:00:00Z, , -31000.0
2013-12-02T06:00:00Z, , -9300.0
2014-02-18T06:00:00Z, , -21300.0
2014-01-16T06:00:00Z, , -16800.0
2014-03-04T06:00:00Z, , -23700.0
2013-12-05T06:00:00Z, , -10400.0
2013-12-06T06:00:00Z, , -10600.0
2014-02-26T06:00:00Z, , -22500.0
2013-11-12T06:00:00Z, , -5800.0
2013-11-07T06:00:00Z, , -4400.0
2014-03-10T05:00:00Z, , -25100.0
2013-10-17T05:00:00Z, , -100.0
2014-03-11T05:00:00Z, , -25200.0
2014-03-06T06:00:00Z, , -24400.0
2014-04-17T05:00:00Z, , -30300.0
2014-03-05T06:00:00Z, , -23900.0
2013-12-27T06:00:00Z, , -12900.0
2014-02-07T06:00:00Z, , -20000.0
2014-03-13T05:00:00Z, , -25700.0
2014-03-03T06:00:00Z, , -23700.0
2013-12-30T06:00:00Z, , -13200.0
2013-10-25T05:00:00Z, , -2000.0
2013-11-11T06:00:00Z, , -5700.0
2014-04-09T05:00:00Z, , -28000.0
2014-02-24T06:00:00Z, , -22100.0
2013-12-09T06:00:00Z, , -11400.0
2014-04-25T05:00:00Z, , -32000.0
2013-12-23T06:00:00Z, , -12000.0
2014-04-18T05:00:00Z, , -30800.0
2014-04-07T05:00:00Z, , -28000.0
2014-03-24T05:00:00Z, , -26500.0
2014-01-08T06:00:00Z, , -15000.0
2013-10-23T05:00:00Z, , -500.0
2013-12-04T06:00:00Z, , -10300.0
2014-02-04T06:00:00Z, , -19400.0
2014-01-28T06:00:00Z, , -17800.0
2013-12-31T06:00:00Z, , -13400.0
2013-10-29T05:00:00Z, , -2600.0
2013-11-06T06:00:00Z, , -3800.0
2014-03-14T05:00:00Z, , -25600.0
2014-01-03T06:00:00Z, , -13800.0
2014-03-18T05:00:00Z, , -25400.0
2014-02-27T06:00:00Z, , -22700.0
2014-03-17T05:00:00Z, , -25200.0
2013-12-20T06:00:00Z, , -11600.0
2013-12-12T06:00:00Z, , -11300.0
2013-11-19T06:00:00Z, , -7300.0
2014-03-25T05:00:00Z, , -26300.0
2014-03-07T06:00:00Z, , -25000.0
2014-02-21T06:00:00Z, , -22300.0
2014-02-12T06:00:00Z, , -19900.0
2013-11-22T06:00:00Z, , -8200.0
2014-04-29T05:00:00Z, , -33100.0
2014-02-14T06:00:00Z, , -21000.0
2014-01-24T06:00:00Z, , -17400.0
2014-03-21T05:00:00Z, , -25800.0
2014-01-07T06:00:00Z, , -14900.0
2013-12-17T06:00:00Z, , -11400.0
2013-10-31T05:00:00Z, , -2300.0
2013-11-26T06:00:00Z, , -8400.0
2014-01-27T06:00:00Z, , -17600.0
2014-03-27T05:00:00Z, , -26400.0
2014-02-28T06:00:00Z, , -23300.0
2014-02-19T06:00:00Z, , -21300.0
2013-10-28T05:00:00Z, , -2100.0
2014-03-12T05:00:00Z, , -25900.0
2014-01-31T06:00:00Z, , -18900.0
2013-11-28T06:00:00Z, , -9200.0
2013-12-03T06:00:00Z, , -9700.0
2013-11-18T06:00:00Z, , -7200.0
2014-04-04T05:00:00Z, , -28000.0
2014-04-23T05:00:00Z, , -31400.0
2014-02-05T06:00:00Z, , -20200.0
2013-12-19T06:00:00Z, , -11200.0
2014-03-26T05:00:00Z, , -26400.0
2014-03-28T05:00:00Z, , -26100.0
2013-11-21T06:00:00Z, , -8300.0
2014-01-13T06:00:00Z, , -16300.0
2014-04-01T05:00:00Z, , -26600.0
2014-04-24T05:00:00Z, , -31700.0
2014-01-14T06:00:00Z, , -16500.0
2013-10-21T05:00:00Z, , 100.0
2014-02-03T06:00:00Z, , -19200.0
2013-10-22T05:00:00Z, , -400.0
2014-01-22T06:00:00Z, , -16600.0
2014-04-02T05:00:00Z, , -27100.0
2013-11-08T06:00:00Z, , -4900.0
2014-04-14T05:00:00Z, , -29500.0
2014-01-17T06:00:00Z, , -16700.0
2013-11-27T06:00:00Z, , -9100.0
2013-11-01T05:00:00Z, , -2400.0
2013-12-10T06:00:00Z, , -11200.0
2014-02-06T06:00:00Z, , -20100.0
2014-04-08T05:00:00Z, , -28200.0
2014-01-06T06:00:00Z, , -14600.0
2014-02-17T06:00:00Z, , -21400.0
2014-01-23T06:00:00Z, , -17500.0
2013-12-13T06:00:00Z, , -11500.0
2014-04-22T05:00:00Z, , -31200.0
2014-04-28T05:00:00Z, , -32800.0
2013-12-16T06:00:00Z, , -11300.0
2014-01-21T06:00:00Z, , -16500.0
2014-04-16T05:00:00Z, , -29800.0
2013-10-30T05:00:00Z, , -2900.0
2013-10-18T05:00:00Z, , -400.0
2013-11-13T06:00:00Z, , -6000.0
2014-04-10T05:00:00Z, , -28200.0
2014-02-20T06:00:00Z, , -21900.0
2013-10-24T05:00:00Z, , -600.0
2014-03-20T05:00:00Z, , -25700.0
2014-01-30T06:00:00Z, , -18500.0
2013-12-11T06:00:00Z, , -11500.0
2014-04-03T05:00:00Z, , -27300.0
2014-01-09T06:00:00Z, , -16100.0
2013-11-20T06:00:00Z, , -7900.0
2014-01-15T06:00:00Z, , -16600.0
2013-11-15T06:00:00Z, , -7200.0
2014-04-11T05:00:00Z, , -28700.0
2014-04-30T05:00:00Z, , -33400.0
